Activity,PricePerCoin,Time,Date,Unix,Order,Amount,Coin,Source
Buy cro from xlm,,3/11/21 4:18 PM,2021-03-11 00:00:00,1615438800,49.76,263.75761935,cro,crypto.com
Sell cro for rvn,,3/11/21 4:19 PM,2021-03-11 00:00:00,1615438800,-48.20,-260.14049932,cro,crypto.com
Buy rvn from cro,,3/11/21 4:19 PM,2021-03-11 00:00:00,1615438800,48.2,270,rvn,crypto.com
Sell rvn for btc,,3/27/21 6:40 PM,2021-03-27 00:00:00,1616817600,-84.53,-420,rvn,crypto.com
Buy btc from rvn,,3/21/21 6:40 PM,2021-03-27 00:00:00,1616817600,84.53,0.00149991,btc,crypto.com
Sell,57471.64777,4/6/21 11:20 PM,2021-04-06 00:00:00,1617681600,-86.15,0.001499,btc,crypto.com
Buy,0.18852,4/6/21 11:25 PM,2021-04-06 00:00:00,1617681600,85.21,452,rvn,crypto.com
Sell,0.18513,4/8/21 10:31 PM,2021-04-08 00:00:00,1617854400,-83.68,452,rvn,crypto.com
Buy,6.50808,4/11/21 7:26 AM,2021-04-11 00:00:00,1618113600,84.53,12.99,xtz,crypto.com
fee,,5/6/21 1:44 PM,2021-05-06 00:00:00,1620273600,0,0.1,xtz,crypto.com
Buy,6.33,4/18/2021 9:50 PM,2021-04-18 00:00:00,1618718400,100.00,15.32156,xtz,Coinbase
Buy,5.92,4/19/2021 6:52 AM,2021-04-19 00:00:00,1618804800,100.00,16.373058,xtz,Coinbase
Buy,5.54,4/20/2021 6:42 AM,2021-04-20 00:00:00,1618891200,50.00,8.48916,xtz,Coinbase
Move (fee),7.71,5/6/2021 1:48 PM,2021-04-05 00:00:00,1617595200,0,-0.001420,xtz,Coinbase
Buy,3.93,5/19/2021 3:31 PM,2021-05-19 00:00:00,1621396800,26.24,6.3000,xtz,Coinbase
Buy,3.86,5/27/2021 5:09 PM,2021-05-27 00:00:00,1622088000,100.00,25.155239,xtz,Coinbase
Move (fee),3.84,5/27/2021 9:51 PM,2021-05-27 00:00:00,1622088000,0,-0.001420,xtz,Coinbase
Bake,,5/29/2021 8:47 AM,2021-05-29 00:00:00,1622260800,0.04,0.013831,xtz,Coinbase
Bake,,6/1/2021 6:30 AM,2021-06-01 00:00:00,1622520000,0.04,0.013401,xtz,Coinbase
Buy,4.90,4/3/21 23:58,2021-04-03 00:00:00,1617422400,100,20.29,xtz,Binance
Sell,6.64,4/9/21 15:32,2021-04-09 00:00:00,1617940800,-100,-20.2,xtz,Binance
Buy,6.58,4/10/21 7:39,2021-04-10 00:00:00,1618027200,100,20,xtz,Binance
Buy,6.6203,4/13/21 13:34,2021-04-13 00:00:00,1618286400,50,7.54,xtz,Binance
Buy,4.9718,4/22/21 19:54,2021-04-22 00:00:00,1619064000,75,15.1,xtz,Binance
Move (fee),,5/8/21,2021-05-18 00:00:00,1621310400,0,-0.5,xtz,Binance
Bake,,5/20/21,2021-05-20 00:00:00,1621483200,0,0.02794496,xtz,Binance
Delegate (fee),,5/6/21,2021-05-06 00:00:00,,0,-0.03,xtz,Ledger
Delegate (fee),,5/27/21,2021-05-27 00:00:00,,0,-0.03,xtz,Ledger
Mine,,30 May 2021 at 10:12 PM,2021-05-30 00:00:00,,0,0.00111449,btc,Nicehash
Mine,,01 June 2021 at 5:29 PM,2021-06-01 00:00:00,,0,0.00106212,btc,Nicehash
Mine,,03 June 2021 at 8:09 AM,2021-06-03 00:00:00,,0,0.00101297,btc,Nicehash
Mine,,05 June 2021 at 9:00 AM,2021-06-05 00:00:00,,0,0.00117477,btc,Nicehash
Mine,,07 June 2021 at 8:09 PM,2021-06-07 00:00:00,,0,0.00126827,btc,Nicehash
Buy,33720.08,2021-06-07 20:03:07,2021-06-07 00:00:00,,100,0.002966,btc,Binance
Buy,33009.07,2021-06-08 07:20:39,2021-06-08 00:00:00,,25,0.000757,btc,Binance
Buy,35152.95,2021-06-09 08:05:39,2021-06-09 00:00:00,,200,0.005688,btc,Binance
Buy,0.1014,2021-05-26 08:39:11,2021-05-26 00:00:00,,52.82940000,521.0,rvn,Binance
Buy ,0.0867,2021-05-24 20:53:02,2021-05-24 00:00:00,,47.685,550,rvn,Binance
Buy,0.0593,2021-05-23 15:00:13,2021-05-23 00:00:00,,25.0127,422,rvn,Binance
BUy,0.0975,2021-05-19 08:28:12,2021-05-19 00:00:00,,25.1647,258,rvn,Binance
Buy,0.1342,2021-04-23 06:58:31,2021-04-23 00:00:00,,37.4686,279,rvn,Binance
Buy,0.1534,2021-04-22 20:03:42,2021-04-22 00:00:00,,25.0042,163,rvn,Binance
Buy,0.1861,2021-04-20 06:57:35,2021-04-20 00:00:00,,24.9373,134,rvn,Binance
Buy,0.2098,2021-04-16 23:04:58,2021-04-16 00:00:00,,100.0746,477,rvn,Binance
Buy,1.1076,2021-04-23 06:59:59,2021-04-23 00:00:00,,51,56.2660,ada,Binance
Buy,1.1902,2021-03-31 23:20:59,2021-03-31 00:00:00,,20,23.8040,ada,Binance
Buy,1.08,2021-03-25 08:57:36,2021-03-25 00:00:00,,45,48.9960,ada,Binance
Mine,,09 June 2021 at 7:45 PM,2021-06-09 00:00:00,,0,0.00103945,btc,Nicehash
